AX,AY,AZ,EX,EY,EZ
-3.3710000000000004,15.0,1.5599999999999996,0.16823392757154415,-0.035924240402548935,0.06800910424388795
-7.3709999999999996,15.0,1.5599999999999996,0.06970039429304575,-0.07415711378438994,-0.013444149686228646
-11.371,15.0,1.5599999999999996,0.11023939766834912,-0.29872529095436307,0.01963981267338738
-15.371000000000002,15.0,1.5599999999999996,0.28855339117019596,-0.38835219397289067,0.34275266420797784
-19.371,15.0,1.5599999999999996,0.39205760526184463,-0.09363084370755115,0.4785498893855142
-23.371000000000002,15.0,1.5599999999999996,0.03468641317611043,-0.07444914100260269,0.8317907276051612
-27.371000000000002,15.0,1.5599999999999996,-0.017543461460328702,-0.026500075540719648,0.2519091426565645
-27.371000000000002,15.0,-2.4400000000000004,-0.164564045569765,-0.11466750185210595,0.14796130094606452
-23.371000000000002,15.0,-2.4400000000000004,-0.12449697387688641,0.05259706942830067,0.1407902451654619
-19.371,15.0,-2.4400000000000004,0.17166252206168575,-0.0948224651673768,0.05076248835578501
-15.371000000000002,15.0,-2.4400000000000004,-0.021450349812832115,0.027311864448678613,-0.05676470712575876
-11.371,15.0,-2.4400000000000004,-0.1245760653918182,0.1230844312264362,-0.4497790677284716
-7.3709999999999996,15.0,-2.4400000000000004,0.019112527709111427,0.101523636373832,-0.20807400028666767
-7.3709999999999996,15.0,-6.4399999999999995,0.2733911558832153,-0.3596623892204609,-0.05989064035595848
-11.371,15.0,-6.4399999999999995,0.056149650558551256,-0.1049520676953436,-0.26192728401085164
-15.371000000000002,15.0,-6.4399999999999995,-0.09176037949779892,0.19855043116437376,-0.260807832689508
-19.371,15.0,-6.4399999999999995,0.0483836524953124,0.13090696105053923,0.13386816018732817
-23.371000000000002,15.0,-6.4399999999999995,0.13830145478544997,0.042619061621798626,0.10334026571934274
-27.371000000000002,15.0,-6.4399999999999995,-0.047424922877919995,0.02079680505923387,-0.1615889914603985
-27.371000000000002,15.0,-10.440000000000001,-0.4951666568300317,0.013055700543190829,0.05165742434779519
-23.371000000000002,15.0,-10.440000000000001,0.0012890334121551383,0.04036832113009925,-0.400736211147551
-15.371000000000002,15.0,-10.440000000000001,0.26259349316918035,-0.21040288923905026,0.17900299395464114
