Leap Controller X;Leap Controller Y;Leap Controller Z;Reference Index X;Reference Index Y;Reference Index Z;Measured Index X;Measured Index Y;Measured Index Z;Reference Wrist X;Reference Wrist Y;Reference Wrist Z;Measured Wrist X;Measured Wrist Y;Measured Wrist Z;Reference Thumb X;Reference Thumb Y;Reference Thumb Z;Measured Thumb X;Measured Thumb Y;Measured Thumb Z
0.04;0.12;0.0085;0.0302;0.1095;0.15;0.01829644;0.09815126;0.147355;0.004;-0.048;0.15;-0.0007860772;-0.04447363;0.1601187;0.04629;0.05559999;0.15;0.04221939;0.05118781;0.1486727
0.08;0.12;0.0085;0.0302;0.1095;0.15;0.01917644;0.09969834;0.1447175;0.004;-0.048;0.15;-0.000268124;-0.04671948;0.1594773;0.04629;0.05559999;0.15;0.04241508;0.04821777;0.147237
0.12;0.12;0.0085;0.0302;0.1095;0.15;0.02346559;0.09808063;0.1428498;0.004;-0.048;0.15;-0.004328184;-0.04426264;0.1568818;0.04629;0.05559999;0.15;0.03817141;0.04679268;0.1481683
0.16;0.12;0.0085;0.0302;0.1095;0.15;0.02544424;0.09878957;0.1381239;0.004;-0.048;0.15;-0.0008237809;-0.04113901;0.1547915;0.04629;0.05559999;0.15;0.03628007;0.04981961;0.145125
0.2;0.12;0.0085;0.0302;0.1095;0.15;0.02915655;0.09589156;0.1345917;0.004;-0.048;0.15;0.005965322;-0.0444933;0.1508199;0.04629;0.05559999;0.15;0.04247461;0.04864158;0.1404019
0.24;0.12;0.0085;0.0302;0.1095;0.15;0.03329413;0.1007659;0.1318464;0.004;-0.048;0.15;0.003855541;-0.03785384;0.1481176;0.04629;0.05559999;0.15;0.04522522;0.05247008;0.1381338
0.28;0.12;0.0085;0.0302;0.1095;0.15;0.0426297;0.09365621;0.1261013;0.004;-0.048;0.15;0.01219323;-0.04269566;0.1463076;0.04629;0.05559999;0.15;0.05794969;0.04480249;0.1347405
0.32;0.12;0.0085;0.0302;0.1095;0.15;0.05598712;0.08511034;0.1199851;0.004;-0.048;0.15;0.0179944;-0.03941495;0.1419603;0.04629;0.05559999;0.15;0.06673649;0.04049569;0.1295978
0.32;0.16;0.0085;0.0302;0.1095;0.15;0.06119254;0.08796363;0.1175183;0.004;-0.048;0.15;0.021211;-0.02890988;0.1406646;0.04629;0.05559999;0.15;0.06992343;0.04351661;0.1281883
0.28;0.16;0.0085;0.0302;0.1095;0.15;0.04336296;0.09850008;0.124625;0.004;-0.048;0.15;0.007432312;-0.02738184;0.1454232;0.04629;0.05559999;0.15;0.05533107;0.05142883;0.1328897
0.24;0.16;0.0085;0.0302;0.1095;0.15;0.03330913;0.1039732;0.132191;0.004;-0.048;0.15;0.002922237;-0.02716643;0.1549281;0.04629;0.05559999;0.15;0.04634751;0.05758369;0.139008
0.2;0.16;0.0085;0.0302;0.1095;0.15;0.03204612;0.0941954;0.1331949;0.004;-0.048;0.15;0.002240181;-0.04149105;0.1547905;0.04629;0.05559999;0.15;0.04170811;0.04742214;0.1407112
0.16;0.16;0.0085;0.0302;0.1095;0.15;0.02925967;0.08991122;0.1346207;0.004;-0.048;0.15;0.007389352;-0.04823773;0.1566215;0.04629;0.05559999;0.15;0.04237693;0.04225236;0.1437401
0.12;0.16;0.0085;0.0302;0.1095;0.15;0.02085862;0.09742501;0.141963;0.004;-0.048;0.15;-0.005628891;-0.04442777;0.1612545;0.04629;0.05559999;0.15;0.03784394;0.04785118;0.1468544
0.08;0.16;0.0085;0.0302;0.1095;0.15;0.01620792;0.09869665;0.1451976;0.004;-0.048;0.15;-0.0007515922;-0.04429969;0.1589918;0.04629;0.05559999;0.15;0.03988105;0.04840454;0.146029
0.04;0.16;0.0085;0.0302;0.1095;0.15;0.01714346;0.09835099;0.1508932;0.004;-0.048;0.15;-0.001432631;-0.04088552;0.1559898;0.04629;0.05559999;0.15;0.04207848;0.0513965;0.1514051
0;0.16;0.0085;0.0302;0.1095;0.15;NaN;NaN;NaN;0.004;-0.048;0.15;NaN;NaN;NaN;0.04629;0.05559999;0.15;NaN;NaN;NaN
-0.04;0.16;0.0085;0.0302;0.1095;0.15;0.03061307;0.09282659;0.1580566;0.004;-0.048;0.15;-0.008251127;-0.03340836;0.1523764;0.04629;0.05559999;0.15;0.03986283;0.05602728;0.1641793
-0.08;0.16;0.0085;0.0302;0.1095;0.15;0.03831875;0.07373549;0.1782366;0.004;-0.048;0.15;-0.009079449;-0.03134662;0.1541669;0.04629;0.05559999;0.15;0.04757965;0.04630637;0.1813465
-0.08;0.2;0.0085;0.0302;0.1095;0.15;0.03731813;0.08594891;0.1641131;0.004;-0.048;0.15;-0.009671643;-0.03019331;0.1595523;0.04629;0.05559999;0.15;0.04546343;0.04712439;0.1693396
-0.04;0.2;0.0085;0.0302;0.1095;0.15;0.03546377;0.09332319;0.1574088;0.004;-0.048;0.15;-0.005275629;-0.02781536;0.1572953;0.04629;0.05559999;0.15;0.04964294;0.05522624;0.1607854
0;0.2;0.0085;0.0302;0.1095;0.15;0.02517802;0.09315972;0.1500348;0.004;-0.048;0.15;-0.007740602;-0.0236188;0.1561276;0.04629;0.05559999;0.15;0.04632645;0.05119154;0.1538816
0.04;0.2;0.0085;0.0302;0.1095;0.15;0.02002781;0.09853396;0.1467526;0.004;-0.048;0.15;0.005887013;-0.03674836;0.1566181;0.04629;0.05559999;0.15;0.04658134;0.0526977;0.1540206
0.08;0.2;0.0085;0.0302;0.1095;0.15;0.01578332;0.09652711;0.1443732;0.004;-0.048;0.15;0.004291557;-0.04348212;0.1616848;0.04629;0.05559999;0.15;0.041683;0.04943973;0.14892
0.12;0.2;0.0085;0.0302;0.1095;0.15;0.01644164;0.09194544;0.1366668;0.004;-0.048;0.15;-0.005026691;-0.0457999;0.1741079;0.04629;0.05559999;0.15;0.03802187;0.04466601;0.1466604
0.16;0.2;0.0085;0.0302;0.1095;0.15;0.02814293;0.09506111;0.1340064;0.004;-0.048;0.15;-0.004108235;-0.03904904;0.1616203;0.04629;0.05559999;0.15;0.03964277;0.0477169;0.1443807
0.2;0.2;0.0085;0.0302;0.1095;0.15;0.03366922;0.09577754;0.1306127;0.004;-0.048;0.15;-0.003879935;-0.03533155;0.1557032;0.04629;0.05559999;0.15;0.04264691;0.0493685;0.1391747
0.24;0.2;0.0085;0.0302;0.1095;0.15;0.03779955;0.09632856;0.1276754;0.004;-0.048;0.15;-0.003026381;-0.02901886;0.1512478;0.04629;0.05559999;0.15;0.04701696;0.05182306;0.1351696
0.28;0.2;0.0085;0.0302;0.1095;0.15;0.04433805;0.1002351;0.1230929;0.004;-0.048;0.15;0.008016527;-0.02014624;0.143345;0.04629;0.05559999;0.15;0.05925903;0.05524702;0.1295487
0.32;0.2;0.0085;0.0302;0.1095;0.15;0.06068769;0.09342921;0.1160479;0.004;-0.048;0.15;0.007872462;-0.02068634;0.1429471;0.04629;0.05559999;0.15;0.06836128;0.04783933;0.1270983
0.28;0.24;0.0085;0.0302;0.1095;0.15;0.04558694;0.102283;0.1214287;0.004;-0.048;0.15;-0.001490146;-0.01916409;0.147929;0.04629;0.05559999;0.15;0.05457771;0.05741756;0.1300911
0.24;0.24;0.0085;0.0302;0.1095;0.15;0.03674519;0.1016901;0.1258745;0.004;-0.048;0.15;-0.007453144;-0.02440515;0.1520407;0.04629;0.05559999;0.15;0.04777198;0.05626236;0.1337903
0.2;0.24;0.0085;0.0302;0.1095;0.15;0.03569806;0.09318541;0.1312202;0.004;-0.048;0.15;-0.004936084;-0.0378024;0.1604175;0.04629;0.05559999;0.15;0.04591534;0.04806261;0.1414008
0.16;0.24;0.0085;0.0302;0.1095;0.15;0.02505969;0.09198745;0.1345845;0.004;-0.048;0.15;-0.01071778;-0.03888565;0.1646148;0.04629;0.05559999;0.15;0.04135089;0.04551484;0.1446775
0.12;0.24;0.0085;0.0302;0.1095;0.15;0.01495218;0.08819209;0.1375816;0.004;-0.048;0.15;-0.008165084;-0.04547375;0.1739022;0.04629;0.05559999;0.15;0.03907419;0.04181163;0.1480264
0.08;0.24;0.0085;0.0302;0.1095;0.15;0.011696;0.08737835;0.1357102;0.004;-0.048;0.15;-0.004489496;-0.04624295;0.1789007;0.04629;0.05559999;0.15;0.04039314;0.04419534;0.1494532
0.04;0.24;0.0085;0.0302;0.1095;0.15;0.01476118;0.09456448;0.1458036;0.004;-0.048;0.15;0.001642395;-0.03539234;0.1605423;0.04629;0.05559999;0.15;0.04274515;0.05372788;0.1493934
0;0.24;0.0085;0.0302;0.1095;0.15;NaN;NaN;NaN;0.004;-0.048;0.15;NaN;NaN;NaN;0.04629;0.05559999;0.15;NaN;NaN;NaN
0;0;0.0085;0.0302;0.1095;0.15;0.03175111;0.1043769;0.1597133;0.004;-0.048;0.15;-0.006693809;-0.05090642;0.1551499;0.04629;0.05559999;0.15;0.04710471;0.0561134;0.1694644
-0.04;0;0.0085;0.0302;0.1095;0.15;0.04209699;0.1009905;0.1593612;0.004;-0.048;0.15;-0.009230636;-0.05542912;0.1537552;0.04629;0.05559999;0.15;0.05813413;0.03869192;0.1814511
0.04;0;0.0085;0.0302;0.1095;0.15;0.02680941;0.1014994;0.1481404;0.004;-0.048;0.15;-0.004749034;-0.05033733;0.1572837;0.04629;0.05559999;0.15;0.04112133;0.05727255;0.159699
0.08;0;0.0085;0.0302;0.1095;0.15;0.02669556;0.1027288;0.1399946;0.004;-0.048;0.15;-0.005141973;-0.05217196;0.1557443;0.04629;0.05559999;0.15;0.04254091;0.05602413;0.1537504
0.12;0;0.0085;0.0302;0.1095;0.15;0.0245333;0.1029788;0.137811;0.004;-0.048;0.15;-0.00486353;-0.05200928;0.1558637;0.04629;0.05559999;0.15;0.04200655;0.0564766;0.1500367
0.16;0;0.0085;0.0302;0.1095;0.15;0.02088185;0.0998148;0.1333831;0.004;-0.048;0.15;-0.00202702;-0.0571847;0.1530919;0.04629;0.05559999;0.15;0.04225285;0.05416036;0.1430465
0.2;0;0.0085;0.0302;0.1095;0.15;0.02653314;0.106735;0.1327625;0.004;-0.048;0.15;-0.002244264;-0.05399248;0.152721;0.04629;0.05559999;0.15;0.04733545;0.05980933;0.1421356
0.24;0;0.0085;0.0302;0.1095;0.15;0.02868053;0.1001808;0.1294105;0.004;-0.048;0.15;0.000184074;-0.05604087;0.1494503;0.04629;0.05559999;0.15;0.0470387;0.05408169;0.1420228
0.28;0;0.0085;0.0302;0.1095;0.15;0.03484935;0.1017736;0.1286101;0.004;-0.048;0.15;0.006641477;-0.04910082;0.145051;0.04629;0.05559999;0.15;0.05270725;0.05703556;0.1411398
0.32;0;0.0085;0.0302;0.1095;0.15;0.03889292;0.09525603;0.1266827;0.004;-0.048;0.15;0.01292133;-0.05200942;0.1414217;0.04629;0.05559999;0.15;0.05761513;0.05119962;0.1367652
0.32;-0.04;0.0085;0.0302;0.1095;0.15;0.03487545;0.08480933;0.1234835;0.004;-0.048;0.15;0.01167667;-0.06597435;0.1417079;0.04629;0.05559999;0.15;0.0527719;0.04215737;0.1393725
0.28;-0.04;0.0085;0.0302;0.1095;0.15;0.03613932;0.09635245;0.1320292;0.004;-0.048;0.15;0.004979044;-0.05172222;0.1467991;0.04629;0.05559999;0.15;0.04892448;0.05516583;0.1437647
0.24;-0.04;0.0085;0.0302;0.1095;0.15;0.03114602;0.0962198;0.1355174;0.004;-0.048;0.15;0.0003212243;-0.04995728;0.149329;0.04629;0.05559999;0.15;0.04209462;0.05743252;0.1477059
0.2;-0.04;0.0085;0.0302;0.1095;0.15;0.02858502;0.09763481;0.1391098;0.004;-0.048;0.15;-0.003276542;-0.0488916;0.151733;0.04629;0.05559999;0.15;0.03934526;0.05935472;0.1499542
0.16;-0.04;0.0085;0.0302;0.1095;0.15;0.01879059;0.09343109;0.1376636;0.004;-0.048;0.15;-0.00557977;-0.05821053;0.1541876;0.04629;0.05559999;0.15;0.03825904;0.05378156;0.1451444
0.12;-0.04;0.0085;0.0302;0.1095;0.15;0.02532814;0.0957857;0.1429636;0.004;-0.048;0.15;-0.005379178;-0.05336683;0.1559183;0.04629;0.05559999;0.15;0.04387525;0.05634276;0.1506966
0.08;-0.04;0.0085;0.0302;0.1095;0.15;0.02315885;0.09567978;0.1491201;0.004;-0.048;0.15;-0.003769651;-0.0564555;0.1534532;0.04629;0.05559999;0.15;0.04405004;0.05755774;0.1555619
0.04;-0.04;0.0085;0.0302;0.1095;0.15;0.02332417;0.09398136;0.1470894;0.004;-0.048;0.15;-0.003326967;-0.05498331;0.1549643;0.04629;0.05559999;0.15;0.04664321;0.05635688;0.1573574
0.04;-0.08;0.0085;0.0302;0.1095;0.15;0.02119906;0.07069169;0.1313178;0.004;-0.048;0.15;-0.004490823;-0.05734392;0.1579086;0.04629;0.05559999;0.15;0.04346249;0.0446022;0.1524283
0.08;-0.08;0.0085;0.0302;0.1095;0.15;0.0183909;0.07718474;0.1379345;0.004;-0.048;0.15;-0.004431419;-0.05359916;0.149934;0.04629;0.05559999;0.15;0.04310919;0.04588842;0.1484846
0.12;-0.08;0.0085;0.0302;0.1095;0.15;0.02209897;0.09141542;0.1465983;0.004;-0.048;0.15;-0.003609754;-0.05287473;0.1511;0.04629;0.05559999;0.15;0.04260391;0.05452806;0.1490379
0.16;-0.08;0.0085;0.0302;0.1095;0.15;0.0238512;0.09593202;0.1437074;0.004;-0.048;0.15;-0.004657805;-0.05079079;0.1516279;0.04629;0.05559999;0.15;0.03894259;0.05870819;0.1530208
0.2;-0.08;0.0085;0.0302;0.1095;0.15;0.02422701;0.09057273;0.1377435;0.004;-0.048;0.15;-0.004625231;-0.05269739;0.1498359;0.04629;0.05559999;0.15;0.03705823;0.05168748;0.149811
0.24;-0.08;0.0085;0.0302;0.1095;0.15;0.02695999;0.08848827;0.1351433;0.004;-0.048;0.15;-0.002694115;-0.0557259;0.1489228;0.04629;0.05559999;0.15;0.04110941;0.04905839;0.1459561
0.28;-0.08;0.0085;0.0302;0.1095;0.15;0.03761391;0.09300499;0.1342518;0.004;-0.048;0.15;0.002267182;-0.05039042;0.1483149;0.04629;0.05559999;0.15;0.05018888;0.05264576;0.1459214
0.32;-0.08;0.0085;0.0302;0.1095;0.15;0.03897065;0.09122752;0.1325775;0.004;-0.048;0.15;0.00715068;-0.05507782;0.145412;0.04629;0.05559999;0.15;0.05617043;0.04862033;0.1435664
0.32;-0.12;0.0085;0.0302;0.1095;0.15;0.03056318;0.09166963;0.1346506;0.004;-0.048;0.15;0.005444229;-0.05691402;0.1465912;0.04629;0.05559999;0.15;0.05650225;0.0456542;0.1449201
0.28;-0.12;0.0085;0.0302;0.1095;0.15;0.03531229;0.09062069;0.1355411;0.004;-0.048;0.15;0.001155138;-0.05297238;0.1497274;0.04629;0.05559999;0.15;0.04985875;0.04984146;0.1494672
0.24;-0.12;0.0085;0.0302;0.1095;0.15;0.03023037;0.09490941;0.1384594;0.004;-0.048;0.15;-0.001790881;-0.04898255;0.1505693;0.04629;0.05559999;0.15;0.04321301;0.05620774;0.1535154
0.2;-0.12;0.0085;0.0302;0.1095;0.15;0.02603246;0.09792242;0.1455406;0.004;-0.048;0.15;-0.00205709;-0.04896945;0.1501513;0.04629;0.05559999;0.15;0.04092473;0.05990758;0.1551409
0.16;-0.12;0.0085;0.0302;0.1095;0.15;0.02761;0.09516826;0.150404;0.004;-0.048;0.15;-0.003964365;-0.04870951;0.1514417;0.04629;0.05559999;0.15;0.0438119;0.05670916;0.1542831
